,org_id,start_date,churn_date,base_growth,common_base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21
138,5768,10/18/18,,0.047830923,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,15,34,38,40,41,44,44,43,43,43,43
139,5803,1/7/20,,0.057395144,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,10,14,24,26
140,5881,10/21/15,,0.28062249,0.411389206,7,21,29,47,53,62,67,76,98,154,258,386,470,549,591,687,825,653,785,860,946,956,559
141,6045,1/16/17,6/16/17,0.046666667,0.411389206,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,6209,10/31/18,9/12/19,0.076190476,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,0,0,0,0,0,0,0
143,6416,3/1/19,3/1/21,0.083561644,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,28,31,50,54,60,61,0
144,6594,4/20/16,,0.460220995,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,59,95,160,192,274,360,450,544,705,833
145,6631,1/5/21,,0.471910112,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,42
146,6739,9/13/18,,0.026766595,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,7,12,14,20,20,22,23,25
147,7165,7/18/18,,0.181634712,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,15,24,24,39,79,102,128,147,158,169,180
148,7171,1/10/19,2/17/21,0.024739583,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,19,19,19,19,19,19,19,0
149,7181,4/10/17,,0.021993127,0.411389206,0,0,0,0,0,0,3,6,7,14,14,17,16,22,23,43,130,224,266,268,233,27,32
150,7676,1/5/21,,0.157303371,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14
151,7805,11/26/15,1/27/17,0.088992974,0.411389206,0,7,12,17,36,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,7845,4/4/18,5/8/18,0.151515152,0.411389206,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
153,7960,5/2/18,,0.133895131,0.411389206,0,0,0,0,0,0,0,0,0,0,0,16,29,26,30,32,34,26,39,85,123,130,143
154,7963,8/7/20,,0.508333333,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,120,122
155,7979,3/30/18,11/3/18,0.02764977,0.411389206,0,0,0,0,0,0,0,0,0,0,6,7,6,0,0,0,0,0,0,0,0,0,0
156,8212,6/14/18,,0.012682927,0.411389206,0,0,0,0,0,0,0,0,0,0,0,18,24,21,17,27,24,39,31,13,13,13,13
157,8214,4/27/19,,0.039548023,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,10,16,17,19,23,28
158,8481,8/16/16,10/31/19,1.094190141,0.411389206,0,0,0,0,0,0,0,0,1,1,17,45,400,442,965,1021,0,0,0,0,0,0,0
159,8488,3/20/19,1/21/21,0.010736196,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,7,7,7,7,0,0
160,8552,8/13/18,8/7/19,0.505586592,0.411389206,0,0,0,0,0,0,0,0,0,0,0,0,45,73,134,189,0,0,0,0,0,0,0
161,8742,3/27/17,,2.031313819,0.411389206,0,0,0,0,0,0,148,495,889,1351,1846,2611,4237,6522,9574,6532,7858,8896,8943,9010,9017,2116,2984
