Unnamed: 0,org_id,base_growth,10/21/15,1/21/16,4/21/16,7/21/16,10/21/16,1/21/17,4/21/17,7/21/17,10/21/17,1/21/18,4/21/18,7/21/18,10/21/18,1/21/19,4/21/19,7/21/19,10/21/19,1/21/20,4/21/20,7/21/20,10/21/20,1/21/21,4/4/21,age
231,18699,0.181455633,0,0,0,0,0,0,0,0,0,0,0,12,50,48,53,49,65,92,108,129,129,170,182,
233,19061,0.008915305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,4,6,4,5,6,
234,19539,0.015082956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,21,19,20,40,22,10,
236,19708,2.686800895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,1107,1177,1186,1199,1201,
237,19765,1.317843866,0,0,0,0,0,0,0,0,0,0,0,163,323,431,645,773,631,701,875,1118,1300,1283,1418,
239,19880,0.007470651,0,0,0,0,0,0,0,0,0,0,0,0,11,14,9,19,24,24,24,24,7,7,7,
240,19915,0.070610687,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,2,71,72,72,74,74,
241,20363,0.121475054,0,0,0,0,0,0,0,0,0,0,0,0,6,11,16,26,35,35,53,88,103,109,112,
242,20532,0.114634146,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,36,39,53,54,62,65,79,94,
243,20533,0.182987141,0,0,0,0,0,0,0,0,0,0,0,2,6,6,9,18,11,88,85,98,174,174,185,
244,20547,1.284714119,0,0,0,0,0,0,0,0,0,0,0,0,0,15,121,307,610,750,971,1000,1033,1087,1101,
245,20557,0.005571031,0,0,0,0,0,0,0,0,0,0,0,7,10,11,13,11,11,6,6,6,6,6,6,
247,20770,0.222453223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,81,93,97,100,107,
249,21021,0.149131767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,62,68,74,89,102,120,146,
250,21119,0.020242915,0,0,0,0,0,0,0,0,0,0,0,5,14,17,17,20,20,20,20,20,20,20,20,
251,21281,0.390139336,0,0,0,0,0,0,0,0,0,0,0,0,17,35,42,50,72,126,188,246,253,314,364,
252,22711,0.131180626,0,0,0,0,0,0,0,0,0,0,0,10,19,34,51,71,96,110,121,134,118,123,130,
254,22758,0.036307054,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,
255,22762,0.038601602,0,0,0,0,0,0,0,1,36,81,714,1278,2009,2497,2743,397,266,755,118,171,144,70,53,
256,24681,0.023738872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,8,
258,26657,0.04815864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,13,14,17,
259,26983,0.011860638,0,0,0,0,0,0,0,0,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,
261,27123,0.017634855,0,0,0,0,0,0,0,0,0,0,0,0,12,14,14,14,14,14,16,17,17,17,17,
263,27190,0.006289308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,
264,27358,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,9,
265,27598,0.031055901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,20,14,15,15,
268,27963,0.014569536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,11,11,11,11,11,11,
269,27990,0.018828452,0,0,0,0,0,0,0,0,0,0,0,0,7,14,16,18,18,18,18,18,18,18,18,
271,28261,0.102521008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,32,41,56,65,61,
272,28323,0.479069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,78,163,202,206,
273,28558,3.307228916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,355,847,1098,
275,28704,0.021551724,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,9,14,16,20,29,20,20,20,
276,28755,0.028697572,0,0,0,0,0,0,0,0,0,0,0,0,20,22,20,23,30,32,32,29,26,26,26,
278,28966,0.031952663,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,19,30,32,28,28,28,27,27,
279,28987,0.072869955,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,42,43,70,65,65,65,65,
281,29547,0.094017094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,
282,29548,0.15323496,0,0,0,0,0,0,0,0,0,0,0,0,0,41,106,135,134,139,136,136,135,135,135,
283,29752,0.070357555,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,42,63,61,70,74,73,60,61,
284,29942,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26,26,26,26,26,
285,29992,0.027166882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,20,26,21,21,21,21,21,
286,30091,0.040618956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,21,21,21,21,
287,30270,0.08045977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,14,
288,30452,0.050541516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,14,14,
290,31048,0.061538462,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,51,49,52,50,45,50,48,52,
291,31232,0.068825911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,20,23,24,19,33,42,51,
292,31254,37.55643341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2601,10313,16654,21126,23134,29614,30095,33275,
295,31550,0.008343266,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,4,4,7,7,8,8,7,7,
296,31713,0.064334086,0,0,0,0,0,0,0,0,0,0,0,0,0,44,61,65,78,72,62,57,57,57,57,
297,31887,0.030104712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,15,16,20,23,23,23,23,
299,32504,0.296382731,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,60,79,264,267,274,298,299,254,
300,32908,0.019498607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,14,18,14,14,14,14,14,
301,33222,0.47146402,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,127,217,259,307,358,362,367,380,
302,33364,0.083844581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,16,39,38,41,
303,33401,0.008012821,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,14,8,8,5,5,0,0,0,
304,33444,0.143084261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33,54,25,56,54,81,90,
305,33588,0.127845884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,34,41,54,80,73,
306,33751,0.056220096,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,37,37,43,41,48,46,47,47,
307,33758,0.118584071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,36,39,45,65,64,67,
308,33829,0.016706444,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,14,14,15,15,19,14,14,14,
310,34365,0.190358467,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,6,40,46,99,154,
311,34418,5.286831812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,3895,3938,3978,4000,4018,4047,4054,4055,
312,34739,0.101204819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41,42,42,
313,34921,0.041533546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,12,13,
314,35193,0.242962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,131,153,160,161,167,170,164,
315,35857,0.083150985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,27,27,25,38,
316,35865,0.047473201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,25,27,28,27,30,31,
317,36004,0.081771721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,21,21,32,40,48,
319,36322,0.002484472,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,
321,36619,0.212311558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,168,239,242,261,254,187,240,169,
322,36967,0.079207921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,37,45,44,44,45,48,
