org_id,start_date,churn_date,age,base_growth,common_base_growth,2016,2017,2018,2019,2020,2021
17341,7/27/18,,none,0.00916497,0.411389206,0,0,17,47,27,9
17358,8/11/17,6/20/20,1044,0.043144775,0.411389206,0,7,21,38,0,0
17522,8/22/18,2/11/19,173,0.412790698,0.411389206,0,0,71,0,0,0
17556,4/9/18,,none,0.005499542,0.411389206,0,0,6,6,6,6
17719,12/1/15,3/7/18,827,0.010895884,0.411389206,9,9,0,0,0,0
17807,1/7/19,8/10/19,215,0.074766355,0.411389206,0,0,0,0,0,0
17884,1/7/19,,none,0.160146699,0.411389206,0,0,0,29,101,131
18083,5/23/18,2/2/19,255,0.039370079,0.411389206,0,0,12,0,0,0
18147,5/8/19,,none,0.025824964,0.411389206,0,0,0,13,18,18
18179,8/7/18,8/3/19,361,0.055555556,0.411389206,0,0,15,0,0,0
18242,8/8/18,12/8/18,122,0.033057851,0.411389206,0,0,4,0,0,0
18370,3/6/18,,none,0.123555556,0.411389206,0,0,28,139,138,139
18488,7/15/19,,none,0.069952305,0.411389206,0,0,0,6,21,44
18501,6/10/19,,none,0.034638554,0.411389206,0,0,0,20,24,23
18679,6/13/18,7/13/18,30,0.103448276,0.411389206,0,0,0,0,0,0
18699,7/6/18,,none,0.181455633,0.411389206,0,0,50,65,129,182
18759,2/16/18,3/5/19,382,0.020997375,0.411389206,0,0,8,0,0,0
19061,6/1/19,,none,0.008915305,0.411389206,0,0,0,8,4,6
19539,6/11/19,,none,0.015082956,0.411389206,0,0,0,25,40,10
19608,7/24/18,2/25/21,947,0.093023256,0.411389206,0,0,45,75,88,0
19708,1/13/20,,none,2.686800895,0.411389206,0,0,0,0,1186,1201
19765,4/24/18,,none,1.317843866,0.411389206,0,0,323,631,1300,1418
19826,9/9/20,11/9/20,61,0.133333333,0.411389206,0,0,0,0,10,0
19880,9/10/18,,none,0.007470651,0.411389206,0,0,11,24,7,7
19915,5/22/18,,none,0.070610687,0.411389206,0,0,0,2,72,74
20363,9/25/18,,none,0.121475054,0.411389206,0,0,6,35,103,112
20532,1/5/19,,none,0.114634146,0.411389206,0,0,0,39,65,94
20533,6/28/18,,none,0.182987141,0.411389206,0,0,6,11,174,185
20547,11/29/18,,none,1.284714119,0.411389206,0,0,0,610,1033,1101
20557,4/23/18,,none,0.005571031,0.411389206,0,0,10,11,6,6
20732,11/7/18,5/6/19,180,0.581005587,0.411389206,0,0,0,0,0,0
20770,12/10/19,,none,0.222453223,0.411389206,0,0,0,0,97,107
20890,7/2/19,12/20/19,171,0.035294118,0.411389206,0,0,0,6,0,0
21021,7/30/18,,none,0.149131767,0.411389206,0,0,0,62,102,146
21119,7/21/18,,none,0.020242915,0.411389206,0,0,14,20,20,20
21281,9/14/18,,none,0.390139336,0.411389206,0,0,17,72,253,364
22711,7/18/18,,none,0.131180626,0.411389206,0,0,19,96,118,130
22739,8/18/16,9/18/16,31,3.366666667,0.411389206,0,0,0,0,0,0
22758,8/14/18,,none,0.036307054,0.411389206,0,0,35,35,35,35
22762,7/1/17,,none,0.038601602,0.411389206,0,36,2009,266,144,53
24681,5/2/20,,none,0.023738872,0.411389206,0,0,0,0,12,8
26123,10/14/19,11/3/19,20,0.789473684,0.411389206,0,0,0,16,0,0
26657,4/16/20,,none,0.04815864,0.411389206,0,0,0,0,13,17
26983,7/25/17,,none,0.011860638,0.411389206,0,14,16,16,16,16
27118,8/15/16,1/15/17,153,0.02631579,0.411389206,4,0,0,0,0,0
27123,8/14/18,,none,0.017634855,0.411389206,0,0,12,14,17,17
27131,1/4/16,1/4/17,366,0.005479452,0.411389206,2,0,0,0,0,0
27190,10/27/20,,none,0.006289308,0.411389206,0,0,0,0,0,1
27358,10/6/20,,none,0.05,0.411389206,0,0,0,0,7,9
27598,12/8/19,,none,0.031055901,0.411389206,0,0,0,0,14,15
27678,8/19/19,8/25/19,6,0.2,0.411389206,0,0,0,0,0,0
27820,8/28/18,8/20/19,357,0.002808989,0.411389206,0,0,0,0,0,0
27963,3/11/19,,none,0.014569536,0.411389206,0,0,0,12,11,11
27990,8/22/18,,none,0.018828452,0.411389206,0,0,7,18,18,18
28255,10/22/18,3/16/21,876,0.155766944,0.411389206,0,0,0,62,128,0
28261,8/18/19,,none,0.102521008,0.411389206,0,0,0,16,56,61
28323,1/30/20,,none,0.479069767,0.411389206,0,0,0,0,163,206
28558,5/7/20,,none,3.307228916,0.411389206,0,0,0,0,355,1098
28577,2/5/19,3/5/20,394,0.073791349,0.411389206,0,0,0,29,0,0
28704,9/19/18,,none,0.021551724,0.411389206,0,0,1,14,20,20
28755,10/11/18,,none,0.028697572,0.411389206,0,0,20,30,26,26
28794,10/23/18,5/8/20,563,0.674377224,0.411389206,0,0,0,473,0,0
28966,12/11/18,,none,0.031952663,0.411389206,0,0,0,30,28,27
28987,10/25/18,,none,0.072869955,0.411389206,0,0,0,42,65,65
29325,10/23/18,2/5/21,836,0.009580838,0.411389206,0,0,0,116,8,0
29547,8/13/20,,none,0.094017094,0.411389206,0,0,0,0,22,22
29548,11/5/18,,none,0.15323496,0.411389206,0,0,0,134,135,135
29752,11/19/18,,none,0.070357555,0.411389206,0,0,0,63,73,61
29942,11/1/19,,none,0.05,0.411389206,0,0,0,0,26,26
29992,2/21/19,,none,0.027166882,0.411389206,0,0,0,20,21,21
30091,11/4/19,,none,0.040618956,0.411389206,0,0,0,0,21,21
30270,10/12/20,,none,0.08045977,0.411389206,0,0,0,0,11,14
30452,7/1/20,,none,0.050541516,0.411389206,0,0,0,0,13,14
30712,10/22/18,11/5/18,14,0.615384615,0.411389206,0,0,0,0,0,0
31048,12/11/18,,none,0.061538462,0.411389206,0,0,0,49,50,52
31232,3/25/19,,none,0.068825911,0.411389206,0,0,0,20,33,51
31254,10/31/18,,none,37.55643341,0.411389206,0,0,0,10313,29614,33275
31314,12/4/18,2/12/19,70,0.028985507,0.411389206,0,0,0,0,0,0
31474,3/1/19,5/26/20,452,0.084257206,0.411389206,0,0,0,23,0,0
31550,12/17/18,,none,0.008343266,0.411389206,0,0,0,4,8,7
31713,10/31/18,,none,0.064334086,0.411389206,0,0,0,78,57,57
31887,3/2/19,,none,0.030104712,0.411389206,0,0,0,15,23,23
31984,4/24/19,4/27/20,369,0.065217391,0.411389206,0,0,0,24,0,0
32504,11/29/18,,none,0.296382731,0.411389206,0,0,0,79,298,254
32908,4/17/19,,none,0.019498607,0.411389206,0,0,0,14,14,14
33222,1/19/19,,none,0.47146402,0.411389206,0,0,0,217,362,380
33364,12/2/19,,none,0.083844581,0.411389206,0,0,0,0,39,41
33401,1/5/19,,none,0.008012821,0.411389206,0,0,0,8,0,0
33444,7/15/19,,none,0.143084261,0.411389206,0,0,0,33,54,90
33588,9/11/19,,none,0.127845884,0.411389206,0,0,0,18,54,73
33751,12/20/18,,none,0.056220096,0.411389206,0,0,0,37,46,47
33758,9/17/19,,none,0.118584071,0.411389206,0,0,0,13,65,67
33829,12/18/18,,none,0.016706444,0.411389206,0,0,0,14,14,14
33921,1/15/19,2/29/20,410,0.012224939,0.411389206,0,0,0,5,0,0
34365,1/16/19,,none,0.190358467,0.411389206,0,0,0,4,46,154
34418,2/27/19,,none,5.286831812,0.411389206,0,0,0,3938,4047,4055
34739,2/14/20,,none,0.101204819,0.411389206,0,0,0,0,41,42
34921,5/26/20,,none,0.041533546,0.411389206,0,0,0,0,9,13
35193,5/30/19,,none,0.242962963,0.411389206,0,0,0,131,167,164
35857,1/3/20,,none,0.083150985,0.411389206,0,0,0,0,27,38
35865,6/21/19,,none,0.047473201,0.411389206,0,0,0,22,27,31
36004,8/26/19,,none,0.081771721,0.411389206,0,0,0,22,32,48
36094,5/28/19,4/28/20,336,0.050746269,0.411389206,0,0,0,14,0,0
36322,1/20/19,,none,0.002484472,0.411389206,0,0,0,2,2,2
36381,2/11/20,8/11/20,182,0.110497238,0.411389206,0,0,0,0,0,0
36619,1/29/19,,none,0.212311558,0.411389206,0,0,0,239,187,169
36967,8/7/19,,none,0.079207921,0.411389206,0,0,0,15,44,48
37033,7/5/19,,none,0.064162754,0.411389206,0,0,0,17,34,41
37042,1/11/19,,none,0.054054054,0.411389206,0,0,0,0,0,44
37266,3/29/19,,none,0.560379919,0.411389206,0,0,0,215,383,413
37360,4/10/19,,none,1.006896552,0.411389206,0,0,0,106,512,730
37755,8/5/20,,none,0.202479339,0.411389206,0,0,0,0,30,49
37768,2/15/19,,none,0.097560976,0.411389206,0,0,0,12,51,76
37784,5/16/19,,none,0.606676343,0.411389206,0,0,0,39,432,418
38003,4/5/19,,none,0.04520548,0.411389206,0,0,0,25,20,33
38160,9/19/19,,none,0.058614565,0.411389206,0,0,0,12,15,33
38202,2/11/19,,none,0.104725415,0.411389206,0,0,0,13,45,82
38322,6/24/19,,none,0.166153846,0.411389206,0,0,0,493,103,108
38345,1/23/20,,none,0.04576659,0.411389206,0,0,0,0,20,20
38399,11/12/19,,none,0.137524558,0.411389206,0,0,0,0,50,70
38582,4/24/20,,none,0.371014493,0.411389206,0,0,0,0,73,128
38633,9/21/20,,none,0.164102564,0.411389206,0,0,0,0,21,32
39255,6/3/19,,none,0.029806259,0.411389206,0,0,0,16,20,20
39447,3/11/19,,none,0.01986755,0.411389206,0,0,0,29,15,15
39527,7/23/18,,none,0.836713996,0.411389206,0,0,0,246,790,825
40228,2/9/21,,none,0.074074074,0.411389206,0,0,0,0,0,4
40751,9/10/19,2/8/21,517,0.02131783,0.411389206,0,0,0,6,8,0
41168,1/31/19,1/5/21,705,0.255714286,0.411389206,0,0,0,635,426,0
41254,3/11/19,,none,0.014569536,0.411389206,0,0,0,10,11,11
41484,6/10/19,8/28/19,79,0.102564103,0.411389206,0,0,0,0,0,0
42538,4/29/19,,none,0.020050125,0.411389206,0,0,0,8,0,0
42572,4/8/19,8/24/20,504,0.003976143,0.411389206,0,0,0,2,0,0
42958,3/25/19,5/18/20,420,0.00477327,0.411389206,0,0,0,2,0,0
43306,3/31/19,,none,0.542857143,0.411389206,0,0,0,425,424,399
